Class,Precision,Recall,F1-Score,Accuracy,Support
akiec,0.8307692307692308,0.7941176470588235,0.8120300751879699,0.7941176470588235,68
bcc,0.7592592592592593,0.9534883720930233,0.845360824742268,0.9534883720930233,86
bkl,0.8275862068965517,0.8727272727272727,0.8495575221238938,0.8727272727272727,220
df,1.0,0.7272727272727273,0.8421052631578947,0.7272727272727273,22
mel,0.8613445378151261,0.8232931726907631,0.8418891170431212,0.8232931726907631,249
nv,0.9704321455648218,0.9580838323353293,0.9642184557438794,0.9580838323353293,1336
vasc,0.88,1.0,0.9361702127659575,1.0,22
